x, y, x_pixel, y_pixel,x_mm,y_mm,x_err,y_err,,,,,,,,,,,,
70,140,805.8466187,1526.175415,69.8062,140.9589,0.1938,0.9589,,,,,,,,,,,,
80,140,910.5,1530.5,79.81537,141.36694,0.18463,1.36694,,,,,,,,,,,,
90,140,1019.001953,1530.018799,89.96826,141.31775,0.03174,1.31775,,,,,,,,,,,,
100,140,1123.801758,1529.825073,99.79236,141.31845,0.20764,1.31845,,,,,,,,,,,,
110,140,1229.356934,1530.651001,109.95305,141.4154,0.04695,1.4154,,,,,,,,,,,,
120,140,1336.120117,1526.663696,120.5676,140.99869,0.5676,0.99869,,,,,,,,,,,,
130,140,1433.578857,1521.952515,130.46762,140.52975,0.46762,0.52975,,,,,,,,,,,,
140,140,1534.967896,1516.659424,140.91882,140.00262,0.91882,0.00262,,,,,,,,,,,,
150,140,1629.404541,1509.085693,150.90857,139.21902,0.90857,0.78098,,,,,,,,,,,,
160,140,1719.671387,1503.547729,160.99326,138.66608,0.99326,1.33392,,,,,,,,,,,,
170,140,1809.051636,1501.693359,171.52335,138.49106,1.52335,1.50894,,,,,,,,,,,,
180,140,1898.360352,1495.514893,181.25299,137.8761,1.25299,2.1239,,,,,,,,,,,,
0,150,136.5,1583.5,0.23146725,146.69629,0.23146725,3.30371,,,,,,,,,,,,
