x, y, x_pixel, y_pixel,x_mm,y_mm,err_x,err_y,x_mm_,y_mm_,err_x,err_y,,,,,,,,,,,
130,80,1447.084106,898.6542969,131.3051199,79.96964846,1.305119878,0.03035154,131.4468498,80.18423575,1.44684983,0.184235745,,,,,,,,,,,
140,80,1545.330322,899.6312866,141.3674341,80.06406342,1.367434134,0.06406342,141.4517758,80.27857414,1.451775778,0.278574136,,,,,,,,,,,
150,80,1642.784668,902.8208008,151.7640204,80.37221994,1.764020361,0.372219942,151.6581365,80.58633184,1.658136507,0.586331837,,,,,,,,,,,
160,80,1732.459961,906.055603,161.7301318,80.68465903,1.730131779,0.684659029,161.6044498,80.89811469,1.604449815,0.898114687,,,,,,,,,,,
170,80,1824.260498,909.5025024,172.0965631,81.01747646,2.096563111,1.017476459,172.2580541,81.22996355,2.258054064,1.229963552,,,,,,,,,,,
180,80,1907.861572,912.1210327,180.9882068,81.27024582,0.988206801,1.270245822,180.8279839,81.48180532,0.827983916,1.481805316,,,,,,,,,,,
0,90,123.5897369,1001.716614,-1.124873106,89.89343006,1.124873106,0.106569937,-0.796438797,89.99088963,0.796438797,0.009110368,,,,,,,,,,,
10,90,211.3449097,1004.061768,8.176882273,90.11871063,1.823117727,0.118710626,7.853215312,90.21157902,2.146784688,0.211579021,,,,,,,,,,,
20,90,302.0885315,1001.016663,18.06750924,89.82617914,1.932490758,0.173820865,18.21724005,89.92500914,1.782759946,0.074990861,,,,,,,,,,,
30,90,393,1001.5,27.95817755,89.8726141,2.041822451,0.127385898,28.18659905,89.97050221,1.813400952,0.029497792,,,,,,,,,,,
40,90,490.0319214,998.3762817,38.28458403,89.57250999,1.715415974,0.427490007,38.25747234,89.67644051,1.74252766,0.323559494,,,,,,,,,,,
50,90,589.1624146,1001.45105,48.48677713,89.86790668,1.513222871,0.13209332,48.28407318,89.965895,1.715926825,0.034104999,,,,,,,,,,,
60,90,691.1031494,996.7446289,58.61439583,89.41574906,1.385604166,0.584250943,58.49556895,89.52279215,1.504431053,0.477207849,,,,,,,,,,,
70,90,794.5690918,995.2603149,68.60125717,89.27313788,1.398742835,0.726862117,68.68658008,89.38298882,1.313419923,0.617011178,,,,,,,,,,,
80,90,906,996,79.1703206,89.34420642,0.829679399,0.655793582,79.34677841,89.45266123,0.653221591,0.547338767,,,,,,,,,,,
90,90,1019.5,995.5,89.88667999,89.29616875,0.113320012,0.703831248,89.93716514,89.40556602,0.062834857,0.594433981,,,,,,,,,,,
100,90,1135.111816,995.0508423,100.8654226,89.25300877,0.865422598,0.746991226,100.7379719,89.36325687,0.737971875,0.63674313,,,,,,,,,,,
